"","x"
"1",0.99996915764479
"2",0.999876632481661
"3",0.999722430218001
"4",0.999506560365732
"5",0.999229036240723
"6",0.99888987496197
"7",0.998489097450538
"8",0.998026728428272
"9",0.99750279641627
"10",-5.17697075842798
"11",-4.90194984685023
"12",-4.2880950657089
"13",-5.17569765814628
"14",-4.83398754212646
"15",-5.17891758013353
"16",-4.93411021910898
"17",-4.2719368429048
"18",-4.53187233758964
"19",-5.1458015410737
"20",-4.77925067634395
"21",-4.81943172583196
"22",-4.50576156701351
"23",-4.99381899628459
"24",-4.27971355304759
"25",-4.38053056095967
"26",-4.98128553558803
"27",-5.1133227262546
"28",-4.70734363294339
"29",-4.47466386462219
"30",-5.0164255128267
"31",-4.62615315786526
"32",-4.22698712426211
"33",-4.45690679600565
"34",-4.93312705837939
"35",-4.40735308266287
"36",-4.20986619672945
"37",-4.70353417021054
"38",-4.97776795162828
"39",-4.82081650116581
"40",-4.45857844652535
"41",-4.31930480810788
"42",-4.61178887233689
"43",-4.10659227641215
"44",-4.33040104347017
"45",-4.22017481170783
"46",-4.41541393568355
"47",-3.96809321168458
"48",-4.2159824320579
"49",-4.34572291713699
"50",-4.4070730252887
"51",-3.91840215543649
"52",-4.55263635984787
"53",-4.02204137363295
"54",-4.0485643327428
"55",-4.77629176436966
"56",-4.3424090736518
"57",-4.04376316113508
"58",-4.39003021404846
"59",-4.72906478014357
"60",-3.96761240539103
"61",-4.08993441927043
"62",-4.61836520014304
"63",-4.56600638261333
"64",-4.18612892205679
"65",-4.4161393130527
"66",-4.52104914601308
"67",-4.34574726969668
"68",-4.04071506303117
"69",-3.60809875372291
"70",-4.46351518099766
"71",-4.29301483839225
"72",-4.19666229711226
"73",-4.49261261189399
"74",-3.94358555319809
"75",-3.83118079208912
"76",-4.06208035655569
"77",-4.04406271994125
"78",-3.50096902266624
"79",-3.65117830191174
"80",-4.23811948288769
"81",-3.41029688709443
"82",-3.3900080664025
"83",-4.06482431746463
"84",-3.58698365381461
"85",-3.80885821032325
"86",-3.58013015389685
"87",-4.154779885048
"88",-3.70942062746841
"89",-3.77628650277597
"90",-3.44984759494596
"91",-3.77365713425502
"92",-3.35099737065658
"93",-3.65249388316389
"94",-3.43595202732575
"95",-3.42170544283339
"96",-3.3355215696443
"97",-2.94048345804719
"98",-3.64105143427203
"99",-3.7314670460923
"100",-3.64738513009628
"101",-2.8969672824746
"102",-2.90588493993493
"103",-3.69748120078625
"104",-2.75182253552504
"105",-3.62136841416872
"106",-3.49043113515158
"107",-2.7107654771186
"108",-3.10521694806153
"109",-3.47455714715059
"110",-2.65663508091723
"111",-2.67898114539098
"112",-2.82868894657174
"113",-3.37518622895383
"114",-2.56311510687929
"115",-3.30657883803036
"116",-2.94694802058773
"117",-2.99928900992263
"118",-3.11608961782374
"119",-3.0981444597582
"120",-2.63314237728166
"121",-3.10318278483685
"122",-2.35916142504909
"123",-2.30252062298462
"124",-3.00790806494201
"125",-2.24859502982615
"126",-2.88135294502105
"127",-2.50846231766054
"128",-2.40281553184065
"129",-2.07434857296071
"130",-2.21495864030665
"131",-2.05760162583583
"132",-2.74139790041068
"133",-2.57538791573465
"134",-2.50513343070273
"135",-1.79928876706439
"136",-2.06444757147076
"137",-2.32942772907069
"138",-2.11361494431332
"139",-2.07952890322062
"140",-2.1210562503385
"141",-1.68851425144083
"142",-2.0422444533563
"143",-2.40140866852048
"144",-2.39038510171934
"145",-2.0982307703644
"146",-1.85945856478456
"147",-1.62202274159413
"148",-1.50151462260607
"149",-1.98944541464463
"150",-1.26661854690068
"151",-1.68238450677803
"152",-1.25194038543305
"153",-1.1608704262962
"154",-1.58485458832073
"155",-1.51541874499013
"156",-1.32890331760117
"157",-1.76313644232279
"158",-1.58014223413287
"159",-1.72356035600204
"160",-0.99424464314782
"161",-1.12908389771377
"162",-1.24990433633554
"163",-1.12421839035456
"164",-1.28273607892142
"165",-0.902422578006542
"166",-1.52926429507445
"167",-0.832904063489476
"168",-1.0670359488332
"169",-1.06654693665811
"170",-1.36370645943556
"171",-0.562421572811632
"172",-0.758895339446123
"173",-0.41115357182463
"174",-0.680159174558373
"175",-1.20365909345609
"176",-0.539311992455244
"177",-0.736547212049644
"178",-0.411896359513943
"179",-0.569647909848294
"180",-0.592859054071651
"181",-0.441901487954899
"182",-0.968357917268327
"183",-0.592306246202541
"184",-0.169531312562311
"185",-0.645822266231252
"186",-0.802287084917921
"187",0.0440929389298692
"188",0.0611870452473637
"189",-0.61083663459026
"190",-0.253656684170509
"191",-0.447330262453077
"192",-0.356088699350657
"193",-0.0971953514885047
"194",-0.510839215233633
"195",0.18916905893457
"196",-0.162281610703906
"197",-0.149486818376237
"198",0.434386637850939
"199",0.415234299116954
"200",-0.236048640171066
"201",-0.0458814672570672
"202",-0.0308753000253483
"203",0.519646709079314
"204",0.612705206693731
"205",0.32236162877804
"206",0.108958550243232
"207",0.263478186584261
"208",-0.0334483856190732
"209",0.561051906128962
"210",-0.0624503619251668
"211",0.605745843500199
"212",-0.0332526241333144
"213",0.499785085450213
"214",-0.0291907803989289
"215",0.681104235296124
"216",0.399944891757571
"217",0.881059168640558
"218",0.632651246252946
"219",0.75379913367176
"220",0.83601060278211
"221",0.961322424144265
"222",0.851734529579512
"223",0.498574071991661
"224",0.295815228464072
"225",0.454093064082701
"226",0.561615893586428
"227",0.41111488294325
"228",0.734226673671349
"229",0.821436851486474
"230",0.836361486342089
"231",1.06360832154716
"232",0.220430623250618
"233",0.513601031014138
"234",0.273845141915391
"235",0.851224185239998
"236",0.340646569009156
"237",0.554751247938614
"238",0.64154285367033
"239",0.838906297764495
"240",0.482714458395345
"241",1.14315664453982
"242",0.784226461890234
"243",0.572727209109362
"244",0.268340443372953
"245",1.27651411677385
"246",0.384050448933701
"247",1.21830834305812
"248",0.949043864677397
"249",0.609424089291812
"250",0.540848551181878
"251",0.474858916277364
"252",1.303560437352
"253",0.592464790626356
"254",0.549561726691263
"255",0.930190370416268
"256",0.830052926168636
"257",0.964370735721225
"258",1.16048076511382
"259",0.588188554747672
"260",0.60076682292703
"261",1.33964378318589
"262",1.43262421735272
"263",0.812946863127418
"264",1.26054170778747
"265",0.99046956060157
"266",0.970958771633022
"267",0.715793207861634
"268",0.952925473559254
"269",1.41910735889969
"270",1.41048886835806
"271",0.640177552446296
"272",1.41974576387061
"273",0.793567395489694
"274",0.631328866265922
"275",0.845685643830915
"276",1.24444597300612
"277",1.47068644453806
"278",1.14331369896502
"279",0.733565173126172
"280",0.971082912597837
"281",1.27190502389529
"282",1.54177762829994
"283",1.30993666706839
"284",0.732379096112855
"285",1.0396352809067
"286",1.202750560729
"287",0.909268594352084
"288",0.918668156868647
"289",1.53064860045405
"290",1.19086648211394
"291",1.07771097115046
"292",0.823211895667421
"293",1.25986678154442
"294",0.9457924768186
"295",1.09078489115322
"296",1.43837140207767
"297",1.1097127150862
"298",1.2358654153657
"299",0.927507196678034
"300",1.39305602367038
"301",1.35157220863956
"302",1.76131365968631
"303",1.89782334728645
"304",1.47717184530919
"305",1.03019976113881
"306",1.79396778809132
"307",1.53263123091535
"308",1.02395146400295
"309",1.17183761374267
"310",1.73262610412802
"311",1.67521516501818
"312",1.80102401753613
"313",1.83962579065001
"314",1.95625778234955
"315",1.11733117507456
"316",1.18040111057308
"317",1.51470126687364
"318",1.25996385772207
"319",1.79378039130019
"320",1.69229686154232
"321",1.42579725232408
"322",1.09645781537678
"323",1.47331414611703
"324",1.76562240090615
"325",1.45500367832418
"326",1.21434759564107
"327",1.38801181630556
"328",1.1531233177717
"329",1.5343632784934
"330",1.87739586072543
"331",1.72055037108392
"332",1.25079350786388
"333",2.11759238145536
"334",1.36217567584904
"335",1.39306051632865
"336",2.12863898990316
"337",1.62233319610447
"338",1.8180466817691
"339",1.30145998457068
"340",1.8981600794288
"341",1.24544723985267
"342",1.59612877004082
"343",2.10791530651387
"344",1.40843675044894
"345",1.31383672262867
"346",2.17537056582378
"347",1.44177287861336
"348",2.17922038499011
"349",1.50331679529632
"350",1.53873339019861
"351",1.89240222357377
"352",1.8971133550318
"353",1.82985130755424
"354",1.51435632575796
"355",1.32366517616809
"356",1.85023679794345
"357",1.58914249336009
"358",1.36162292969286
"359",1.88835922730147
"360",1.69162399549013
"361",1.87063474303766
"362",2.00650128272986
"363",1.95139742522134
"364",2.24261311831953
"365",1.42658005722812
"366",1.45124726808879
"367",2.00618814009276
"368",1.91274516851943
"369",1.73984014484398
"370",1.8287646582048
"371",2.27392702751058
"372",1.52239858307299
"373",2.21154446030323
"374",2.15317529627653
"375",1.92622688934598
"376",2.22929633078067
"377",1.55346088693368
"378",1.42577043910641
"379",1.38432574478235
"380",1.92251963215594
"381",1.58725825746994
"382",1.50946192749113
"383",1.35969729323046
"384",2.08625261607677
"385",2.32011942333798
"386",1.75825417883885
"387",2.02586425503421
"388",1.68517189520711
"389",2.13201181890551
"390",2.28939713728587
"391",1.50354621660136
"392",2.21040569542802
"393",2.28788986013683
"394",1.49628566468879
"395",1.41875980708574
"396",1.68063068538449
"397",1.88666945439141
"398",2.08939316164987
"399",1.66457995113181
"400",1.37357077465082
"401",1.66090149564864
"402",1.68651952589216
"403",2.21092343166779
"404",2.28833288498699
"405",1.60102907133114
"406",2.30682086369767
"407",1.98433392987067
"408",2.32056035491533
"409",1.86369564973921
"410",1.57982297479148
"411",1.56479243465808
"412",1.42081479915718
"413",1.54350146243986
"414",1.64031975440871
"415",2.31041206723335
"416",1.67998569091879
"417",1.68501807746583
"418",2.32983862704866
"419",1.76836534010696
"420",2.21950369468604
"421",1.90363048386086
"422",1.38142164670061
"423",2.08488555066178
"424",2.16053806310421
"425",1.97096198853496
"426",1.84231591272699
"427",2.15191199552555
"428",1.64729321672936
"429",1.71296361499662
"430",1.59812966805656
"431",1.43081050258428
"432",2.0555647381984
"433",2.06904706063714
"434",2.28270108784798
"435",1.40847050117343
"436",2.05716896191308
"437",1.91343608494482
"438",2.16113336819848
"439",1.9402200116562
"440",1.56433485442748
"441",1.33551743029608
"442",1.98278354679108
"443",1.30580282576044
"444",1.53014881886143
"445",1.4514169063177
"446",1.48736487483167
"447",1.45611443544931
"448",1.83160272349287
"449",1.81686456970103
"450",1.43683415422361
"451",1.81090772648463
"452",1.31925419562241
"453",1.96017396308113
"454",1.87733173065217
"455",1.46447290712361
"456",1.85689297147624
"457",2.14344678637919
"458",2.1395621880726
"459",2.19043771924001
"460",1.90793708286235
"461",1.45110448584513
"462",1.27088399040504
"463",1.98065047815531
"464",1.44621284786252
"465",1.92193556995606
"466",1.80495732794011
"467",1.59865352199634
"468",1.59636907938972
"469",1.84298274687633
"470",1.98053735295811
"471",2.02895505035121
"472",1.62964110078394
"473",1.16556064097535
"474",1.55434021010404
"475",1.62556012835401
"476",1.87438145768291
"477",1.93464398274823
"478",1.76570454507295
"479",1.81633455945611
"480",1.95915938551717
"481",1.59416161310868
"482",1.76530636452565
"483",1.50648075072841
"484",1.66326786975224
"485",1.36273353238275
"486",1.91765379294213
"487",1.67096248518674
"488",1.69626217489787
"489",1.22389139759269
"490",1.02970505306165
"491",1.57950404175731
"492",1.14910539951734
"493",1.38429812053443
"494",1.62006894730256
"495",1.54010057529393
"496",1.38727685044868
"497",1.77302192504996
"498",1.89006039066025
"499",1.41399317357908
"500",1.57389301181773
"501",1.22454377113301
"502",1.11009802325935
"503",1.64329604484387
"504",1.81899494291872
"505",1.46509667101177
"506",1.66884315031085
"507",1.24953726447422
"508",0.813920206057312
"509",1.74736881876169
"510",0.930990118901697
"511",1.03703088676983
"512",1.70456237826204
"513",1.33923168434344
"514",0.92481304997967
"515",1.12330996553926
"516",0.759707183828286
"517",1.35345059490995
"518",1.50362003181425
"519",1.02910235809357
"520",1.56925425336513
"521",0.757662072559233
"522",1.40947532377288
"523",0.90158044918475
"524",1.43100231064022
"525",1.18658482305484
"526",0.99699289575985
"527",1.56524846232499
"528",0.644430847712515
"529",1.13829838167647
"530",1.32396267120957
"531",0.893270829689479
"532",0.802076453916334
"533",1.16720341436207
"534",0.7860273918901
"535",1.19629895674699
"536",1.36191416210289
"537",0.573715184237353
"538",0.770570019955636
"539",0.804841428779324
"540",1.44421371654454
"541",0.583294000365482
"542",1.16635093437529
"543",1.34221546355218
"544",0.527568261335462
"545",0.976200734030453
"546",1.21717530960968
"547",0.907717389234267
"548",0.656424662281358
"549",0.65837055575691
"550",0.50247813724334
"551",0.500394673064098
"552",1.28668220091119
"553",0.328648823052315
"554",1.09545037550488
"555",0.67665175102325
"556",0.453804777348639
"557",0.418808080408271
"558",0.633470617345613
"559",0.341581001995045
"560",1.1283961683778
"561",0.326338192985147
"562",0.308811921509117
"563",0.925200622601325
"564",0.20478309467177
"565",0.387578445991974
"566",0.781654176696921
"567",0.163986467848904
"568",0.11969499799849
"569",0.453595330658954
"570",0.151381824741424
"571",0.355684769075273
"572",0.398806518239273
"573",0.492300013112864
"574",0.939744399131163
"575",0.734866719128478
"576",0.498483340002585
"577",0.964285227665149
"578",0.53906356716015
"579",0.84933918868449
"580",0.548194376765379
"581",0.692902853450119
"582",0.934126208170793
"583",0.239472915221038
"584",0.185123473475925
"585",0.166466935249962
"586",0.196310338760232
"587",0.516913771638
"588",-0.112078579412487
"589",0.298956825286449
"590",0.675663635113287
"591",0.68226172499879
"592",0.543701557131036
"593",0.491649420370529
"594",0.611571935451181
"595",0.504289804279565
"596",-0.188311004815975
"597",0.686337390441837
"598",0.352724064406225
"599",0.511729741384834
"600",0.409528922569006
"601",0.174603556460142
"602",-0.222909276778098
"603",0.350416725834439
"604",0.0611061357337755
"605",-0.191134114211188
"606",0.560776300375756
"607",-0.191630096917225
